"Model"	"XmlQueryIndex"	"VerifytaQueryIndex"	"Kind"	"Status"	"ExitCode"	"Formula"
"LwM2M Models\Level 1\BaselineModel.xml"	"0"	"0"	"symbolic"	"satisfied"	"0"	"E<> (Client1.S_BOOTSTRAP_DONE)"
"LwM2M Models\Level 1\BaselineModel.xml"	"1"	"1"	"symbolic"	"satisfied"	"0"	"E<> (Client2.S_BOOTSTRAP_DONE)"
"LwM2M Models\Level 1\BaselineModel.xml"	"2"	"2"	"symbolic"	"satisfied"	"0"	"E<> (Client1.S_REGISTERED and Client2.S_REGISTERED)"
"LwM2M Models\Level 1\BaselineModel.xml"	"3"	"3"	"symbolic"	"satisfied"	"0"	"E<> (ObservationHandler1.S_COMPLETED)"
"LwM2M Models\Level 1\BaselineModel.xml"	"4"	"4"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 1\BaselineModel.xml"	"5"	"5"	"symbolic"	"satisfied"	"0"	"A[] (notification_count <= MAX_OBSERVATION_CYCLES)"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"0"	"0"	"symbolic"	"not_satisfied"	"0"	"E<> attack_mode == NO_ATTACK and client_bootstrapped[0] and client_bootstrapped[1]"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"1"	"1"	"symbolic"	"satisfied"	"0"	"A[] not deadlock"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"3"	"2"	"symbolic"	"satisfied"	"0"	"E<> attack_mode == MITM_ATTACK and (message_tampered[0] or message_tampered[1])"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"4"	"3"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == MITM_ATTACK and message_tampered[0] imply !client_bootstrapped[0])"
"LwM2M Models\Level 2\Bootstrap\Attacker_Bootstrap.xml"	"5"	"4"	"symbolic"	"satisfied"	"0"	"A[] (attack_mode == MITM_ATTACK and message_tampered[1] imply !client_bootstrapped[1])"
